
,Sankey my Battleship,Watch the Throne,LML at Your Lineup,Draft Josh Allen,diamond and diamond,Jamaican Hopscotch Mafia,FreeBrady,Free Smizzy,Dalvin and the Chipmunks,Ouuu sauce it up,FUMBLE,Beats by Ray
1,Todd Gurley,David Johnson,Le\Veon Bell,Ezekiel Elliott,Saquon Barkley,Michael Thomas,Antonio Brown,Melvin Gordon,DeAndre Hopkins,Alvin Kamara,Odell Beckham,Julio Jones
2,Adam Thielen,Larry Fitzgerald,Devonta Freeman,Rob Gronkowski,A.J. Green,Christian McCaffrey,LeSean McCoy,Davante Adams,Dalvin Cook,Kareem Hunt,Keenan Allen,Leonard Fournette
3,Mike Evans,Stefon Diggs,T.Y. Hilton,Doug Baldwin,Joe Mixon,Zach Ertz,Travis Kelce,Alex Collins,Jordan Howard,Jerick McKinnon,Kenyan Drake,Derrick Henry
4,Lamar Miller,Allen Robinson,Josh Gordon,Golden Tate,Marshawn Lynch,JuJu Smith-Schuster,Rashaad Penny,Aaron Rodgers,Amari Cooper,Tyreek Hill,Jay Ajayi,Demaryius Thomas
5,Jarvis Landry,Evan Engram,Tom Brady,Marvin Jones,Alshon Jeffery,Jordy Nelson,Pierre Garcon,Greg Olsen,Chris Hogan,Brandin Cooks,Kerryon Johnson,Jimmy Graham
6,Jordan Reed,Russell Wilson,Kyle Rudolph,Sony Michel,Cam Newton,Mark Ingram,Emmanuel Sanders,Royce Freeman,Tevin Coleman,Deshaun Watson,Delanie Walker,Carson Wentz
7,Kirk Cousins,Carlos Hyde,Randall Cobb,Marlon Mack,Robert Woods,LeGarrette Blount,Matthew Stafford,Marquise Goodwin,Tarik Cohen,Rex Burkhead,Andrew Luck,Chris Thompson
8,Corey Davis,Jacksonville Jaguars,Dion Lewis,Jamaal Williams,Isaiah Crowell,Torrey Smith,Ronald Jones,Devin Funchess,Trey Burton,Robby Anderson,Nick Chubb,Ty Montgomery
9,Matt Bryant,Duke Johnson,Jack Doyle,Jamison Crowder,David Njoku,Theo Riddick,DeVante Parker,Will Fuller,Cooper Kupp,Sammy Watkins,D.J. Moore,Dez Bryant
10,James White,Chris Carson,Houston Texans,Los Angeles Rams,Philadelphia Eagles,Tyler Lockett,Kelvin Benjamin,Julian Edelman,Drew Brees,Minnesota Vikings,Cameron Meredith,Baltimore Ravens
11,Sterling Shepard,Nelson Agholor,Ben Roethlisberger,Austin Ekeler,Kenny Stills,Richard Rodgers,C.J. Anderson,Denver Broncos,Giovani Bernard,Stephen Gostkowski,Nyheim Hines,Justin Tucker
12,Marqise Lee,Allen Hurns,DeSean Jackson,Philip Rivers,Greg Zuerlein,Cole Beasley,Bilal Powell,Jimmy Garoppolo,Rishard Matthews,George Kittle,Los Angeles Chargers,Matt Ryan
13,Jared Goff,Tyler Eifert,Darren Sproles,Matt Breida,Donte Moncrief,O.J. Howard,Eric Decker,Devontae Booker,Latavius Murray,Peyton Barber,Doug Martin,Cameron Brate
14,Charles Clay,Tavon Austin,Mohamed Sanu,Josh Doctson,Jordan Wilkins,Eli Manning,Daniel Carlson,John Brown,Wil Lutz,Mike Williams,Austin Seferian-Jenkins,D.J. Chark
15,Kansas City Chiefs,Eddy Pineiro,Frank Gore,Mason Crosby,Sam Darnold,Alex Smith,New England Patriots,Harrison Butker,T.J. Yeldon,Aaron Jones,Adam Vinatieri,Michael Crabtree


Round 1,Todd Gurley,Sankey my Battleship
Round 2,Adam Thielen,Sankey my Battleship
Round 3,Mike Evans,Sankey my Battleship
Round 4,Lamar Miller,Sankey my Battleship
Round 5,Jarvis Landry,Sankey my Battleship
Round 6,Jordan Reed,Sankey my Battleship
Round 7,Kirk Cousins,Sankey my Battleship
Round 8,Corey Davis,Sankey my Battleship
Round 9,Matt Bryant,Sankey my Battleship
Round 10,James White,Sankey my Battleship
Round 11,Sterling Shepard,Sankey my Battleship
Round 12,Marqise Lee,Sankey my Battleship
Round 13,Jared Goff,Sankey my Battleship
Round 14,Charles Clay,Sankey my Battleship
Round 15,Kansas City Chiefs,Sankey my Battleship
Round 1,David Johnson,Watch the Throne
Round 2,Larry Fitzgerald,Watch the Throne
Round 3,Stefon Diggs,Watch the Throne
Round 4,Allen Robinson,Watch the Throne
Round 5,Evan Engram,Watch the Throne
Round 6,Russell Wilson,Watch the Throne
Round 7,Carlos Hyde,Watch the Throne
Round 8,Jacksonville Jaguars,Watch the Throne
Round 9,Duke Johnson,Watch the Throne
Round 10,Chris Carson,Watch the Throne
Round 11,Nelson Agholor,Watch the Throne
Round 12,Allen Hurns,Watch the Throne
Round 13,Tyler Eifert,Watch the Throne
Round 14,Tavon Austin,Watch the Throne
Round 15,Eddy Pineiro,Watch the Throne
Round 1,Le\Veon Bell,LML at Your Lineup
Round 2,Devonta Freeman,LML at Your Lineup
Round 3,T.Y. Hilton,LML at Your Lineup
Round 4,Josh Gordon,LML at Your Lineup
Round 5,Tom Brady,LML at Your Lineup
Round 6,Kyle Rudolph,LML at Your Lineup
Round 7,Randall Cobb,LML at Your Lineup
Round 8,Dion Lewis,LML at Your Lineup
Round 9,Jack Doyle,LML at Your Lineup
Round 10,Houston Texans,LML at Your Lineup
Round 11,Ben Roethlisberger,LML at Your Lineup
Round 12,DeSean Jackson,LML at Your Lineup
Round 13,Darren Sproles,LML at Your Lineup
Round 14,Mohamed Sanu,LML at Your Lineup
Round 15,Frank Gore,LML at Your Lineup
Round 1,Ezekiel Elliott,Draft Josh Allen
Round 2,Rob Gronkowski,Draft Josh Allen
Round 3,Doug Baldwin,Draft Josh Allen
Round 4,Golden Tate,Draft Josh Allen
Round 5,Marvin Jones,Draft Josh Allen
Round 6,Sony Michel,Draft Josh Allen
Round 7,Marlon Mack,Draft Josh Allen
Round 8,Jamaal Williams,Draft Josh Allen
Round 9,Jamison Crowder,Draft Josh Allen
Round 10,Los Angeles Rams,Draft Josh Allen
Round 11,Austin Ekeler,Draft Josh Allen
Round 12,Philip Rivers,Draft Josh Allen
Round 13,Matt Breida,Draft Josh Allen
Round 14,Josh Doctson,Draft Josh Allen
Round 15,Mason Crosby,Draft Josh Allen
Round 1,Saquon Barkley,diamond and diamond
Round 2,A.J. Green,diamond and diamond
Round 3,Joe Mixon,diamond and diamond
Round 4,Marshawn Lynch,diamond and diamond
Round 5,Alshon Jeffery,diamond and diamond
Round 6,Cam Newton,diamond and diamond
Round 7,Robert Woods,diamond and diamond
Round 8,Isaiah Crowell,diamond and diamond
Round 9,David Njoku,diamond and diamond
Round 10,Philadelphia Eagles,diamond and diamond
Round 11,Kenny Stills,diamond and diamond
Round 12,Greg Zuerlein,diamond and diamond
Round 13,Donte Moncrief,diamond and diamond
Round 14,Jordan Wilkins,diamond and diamond
Round 15,Sam Darnold,diamond and diamond
Round 1,Michael Thomas,Jamaican Hopscotch Mafia
Round 2,Christian McCaffrey,Jamaican Hopscotch Mafia
Round 3,Zach Ertz,Jamaican Hopscotch Mafia
Round 4,JuJu Smith-Schuster,Jamaican Hopscotch Mafia
Round 5,Jordy Nelson,Jamaican Hopscotch Mafia
Round 6,Mark Ingram,Jamaican Hopscotch Mafia
Round 7,LeGarrette Blount,Jamaican Hopscotch Mafia
Round 8,Torrey Smith,Jamaican Hopscotch Mafia
Round 9,Theo Riddick,Jamaican Hopscotch Mafia
Round 10,Tyler Lockett,Jamaican Hopscotch Mafia
Round 11,Richard Rodgers,Jamaican Hopscotch Mafia
Round 12,Cole Beasley,Jamaican Hopscotch Mafia
Round 13,O.J. Howard,Jamaican Hopscotch Mafia
Round 14,Eli Manning,Jamaican Hopscotch Mafia
